dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1424.56,0.5,10/01/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,79.43,0.9,10/01/2021
3,Angostura,Chiapas,17356.9,13169.63,12034.84,0.91,10/01/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3398.13,0.56,10/01/2021
5,La Yesca,Jalisco,1491.99,1392.02,781.55,0.56,10/01/2021
6,El Caracol,Guerrero,823.39,697.46,702.61,1.01,10/01/2021
7,Zimapán,Hidalgo,769,699,535.09,0.77,10/01/2021
8,La Villita,Michoacán,362.31,221.29,190.23,0.86,10/01/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.87,0.39,10/01/2021
10,El Cajón,Nayarit,1446.1,1335.13,826.49,0.62,10/01/2021
11,Huites,Sinaloa,4069.09,2703.99,73.15,0.03,10/01/2021
12,Santa Rosa,Jalisco,211.13,195.63,107.1,0.55,10/01/2021
13,Chicoasén,Chiapas,259.56,205.98,172.49,0.84,10/01/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7675.72,0.82,10/01/2021
15,El Novillo,Sonora,3312.48,2633.58,1198.46,0.46,10/01/2021
16,Temascal,Oaxaca,7884.64,6898.19,4235.51,0.61,10/01/2021
17,Peñitas,Chiapas,397.12,215.04,173.91,0.81,10/01/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.32,0.33,10/01/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.58,0.19,10/01/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,10/01/2021
21,Guadalupe,Chihuahua,102.89,79.35,35.46,0.45,10/01/2021
22,Vaqueros,Jalisco,12.21,7.36,3.38,0.46,10/01/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,1036.04,0.34,10/01/2021
24,Mocuzari,Sonora,1822.14,1039.84,263.08,0.25,10/01/2021
25,Mata De Pinos,Michoacán,18.75,15.68,13.53,0.86,10/01/2021
26,Dique 10 Son.,Sonora,41.16,37.58,34.13,0.91,10/01/2021
27,Las Garzas,Guerrero,133.03,102.5,91.22,0.89,10/01/2021
28,Wilson,Michoacán,28.31,25.34,5.89,0.23,10/01/2021
29,Las Piedras,Jalisco,146.89,124.75,119.35,0.96,10/01/2021
30,Canoas,Durango,57.88,45,43.03,0.96,10/01/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,442.76,0.95,10/01/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.34,0.27,10/01/2021
33,Chihuahua,Chihuahua,35.63,23.38,12.12,0.52,10/01/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,10/01/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.97,0.97,10/01/2021
36,Cointzio,Michoacán,79.23,68.52,45.79,0.67,10/01/2021
37,Hidalgo,Querétaro,76.46,66.08,6.36,0.1,10/01/2021
38,Chilatan,Michoacán,807.15,590.03,455.55,0.77,10/01/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,10/01/2021
40,Corrinchis,Jalisco,29,20,12.59,0.63,10/01/2021
41,Santa Teresa,Sonora,66.33,41.47,2.71,0.07,10/01/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,1077.32,0.96,10/01/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,10/01/2021
44,Danxho,Estado de México,32.67,31.05,14.06,0.45,10/01/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,10/01/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,16.24,0.19,10/01/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.21,0.59,10/01/2021
48,Los Arcos,Querétaro,8.04,5.79,1.54,0.27,10/01/2021
49,El Bosque,Michoacán,220.1,202.4,118.82,0.59,10/01/2021
50,El Carrizo,Baja California,44.59,40.87,20.97,0.51,10/01/2021
51,El Cazadero,Zacatecas,44.68,22.18,20.46,0.92,10/01/2021
52,El Centenario,Coahuila,25.71,24.59,15.68,0.64,10/01/2021
53,El Centenario,Querétaro,14.18,9.78,2.64,0.27,10/01/2021
54,El Chique,Zacatecas,192.57,138.91,93.54,0.67,10/01/2021
55,El Cuarenta,Jalisco,38.96,30.63,11.31,0.37,10/01/2021
56,El Estribón,Jalisco,7.74,6.38,5.05,0.79,10/01/2021
57,El Gallo,Guerrero,545.97,400.04,376.87,0.94,10/01/2021
58,El Granero,Chihuahua,832.41,292.47,132.95,0.45,10/01/2021
59,Molinitos,Estado de México,8.7,7.69,0.94,0.12,10/01/2021
60,Piedra Labrada,Veracruz,8.13,2.5,2.51,1,10/01/2021
61,El Niagara,Aguascalientes,31.7,16.19,16.36,1.01,10/01/2021
62,El Palote,Guanajuato,17.16,9.64,6.08,0.63,10/01/2021
63,El Potosino,San Luis Potosí,5.2,3.29,1.64,0.5,10/01/2021
64,El Rejón,Chihuahua,7.76,6.53,3.46,0.53,10/01/2021
65,El Rodeo,Morelos,33.14,26.98,8.95,0.33,10/01/2021
66,El Salto,Jalisco,118.54,85,79.61,0.94,10/01/2021
67,El Tigre,Durango,18.56,14,6.78,0.48,10/01/2021
68,El Tintero,Chihuahua,216.7,125.08,23.24,0.19,10/01/2021
69,Ensenada,Baja California,6.34,2.73,1.28,0.47,10/01/2021
70,Endó,Hidalgo,208.65,182.9,173.32,0.95,10/01/2021
71,Las Ánimas,Tamaulipas,654.37,563.44,288.96,0.51,10/01/2021
72,Isla de las Aves o El Salto,Estado de México,12.32,9.93,4.42,0.45,10/01/2021
73,El Bosque,Durango,96.57,73.26,69.03,0.94,10/01/2021
74,Las Tortolas,Durango,383.16,309.24,268.91,0.87,10/01/2021
75,Trujillo,Zacatecas,125.92,95.72,53.67,0.56,10/01/2021
76,El Peaje,San Luis Potosí,9.05,6.69,1.36,0.2,10/01/2021
77,San Antonio,Michoacán,29.79,28.68,4.39,0.15,10/01/2021
78,Bacurato,Sinaloa,2687.07,1618.75,539.32,0.33,10/01/2021
79,Huapango,Estado de México,126.5,121.3,13.43,0.11,10/01/2021
80,Valencia,Jalisco,22.63,21.73,15.76,0.73,10/01/2021
81,La Begoña,Guanajuato,241.41,170.79,27.87,0.16,10/01/2021
82,Punta de Agua,Sonora,29.69,16.16,0.63,0.04,10/01/2021
83,La Gavia,Estado de México,36.3,20.23,20.36,1.01,10/01/2021
84,Santa Teresa,Zacatecas,13.94,9.17,7.85,0.86,10/01/2021
85,El Salto o Elota,Sinaloa,815.59,403.9,183.52,0.45,10/01/2021
86,Agua Puerca,Durango,56.06,30.76,14.69,0.48,10/01/2021
87,Puente Calderón,Jalisco,100,80,18.41,0.23,10/01/2021
